config,res,time,Y_Wscale,Y_Pscale,Y_EVI
DEFAULT,_54km,2012-10-20 18:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 04:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 05:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 05:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 06:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 06:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 07:00:00,-0.00018627261478091676,-0.016432607324742672,0.003111513991594994
DEFAULT,_54km,2012-11-15 07:00:00,-0.000153224625232565,-0.014101410890797798,0.002510243308252
ALPS,_54km,2012-11-15 08:00:00,-0.0003346265469289344,-0.04395328111784539,0.010280349465360106
DEFAULT,_54km,2012-11-15 08:00:00,-0.0003241639783396795,-0.04141863633986204,0.008696706937790072
ALPS,_54km,2012-11-15 09:00:00,-0.00038425322636933293,-0.05734145758221141,0.01522527348790439
DEFAULT,_54km,2012-11-15 09:00:00,-0.0003703454782843643,-0.05458474758427882,0.013291606200269031
ALPS,_54km,2012-11-15 10:00:00,-0.0004110930212486786,-0.0648314529948345,0.01849532425020816
DEFAULT,_54km,2012-11-15 10:00:00,-0.00037290216955555145,-0.0605733614727603,0.016476667367797213
ALPS,_54km,2012-11-15 11:00:00,-0.0004258223036312142,-0.06838145537157035,0.02039976407183236
DEFAULT,_54km,2012-11-15 11:00:00,-0.0003641172985392393,-0.06284592449668554,0.01836695076049457
ALPS,_54km,2012-11-15 12:00:00,-0.0004214359641942073,-0.069037933015383,0.02077797399437142
DEFAULT,_54km,2012-11-15 12:00:00,-0.00035076424106779625,-0.06287893837316094,0.01877473784126552
ALPS,_54km,2012-11-15 13:00:00,-0.0004035340902006409,-0.06571466652652112,0.019141231353124167
DEFAULT,_54km,2012-11-15 13:00:00,-0.0003311333033113768,-0.059549277927548876,0.017223848743313307
ALPS,_54km,2012-11-15 14:00:00,-0.0003666440292294826,-0.053919228145828516,0.014289510545892807
DEFAULT,_54km,2012-11-15 14:00:00,-0.0002903068635769205,-0.048203501244854015,0.012652415810480974
ALPS,_54km,2012-11-15 15:00:00,-0.0002302328547399306,-0.021969198318903142,0.004610750077682106
DEFAULT,_54km,2012-11-15 15:00:00,-0.00016495400441732505,-0.01785473523882359,0.003934652159112679
ALPS,_54km,2012-11-15 16:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 16:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 17:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 17:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 18:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 18:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-11-15 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-11-15 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 04:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 05:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 05:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 06:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 06:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 07:00:00,3.807533194704861e-05,-3.164076104194164e-05,5.851414518963332e-06
DEFAULT,_54km,2012-12-24 07:00:00,2.6871191684676315e-05,-2.3566860604277974e-05,4.333276570437016e-06
ALPS,_54km,2012-12-24 08:00:00,0.0010859012390900362,-0.0138234589275097,0.006340547395088656
DEFAULT,_54km,2012-12-24 08:00:00,0.0004908062070068934,-0.01212271606350948,0.005020504141809129
ALPS,_54km,2012-12-24 09:00:00,-0.0015175835693496487,-0.022355736352847044,0.01093104103794657
DEFAULT,_54km,2012-12-24 09:00:00,-0.0016762386110060156,-0.02022472279754969,0.008881740695413056
ALPS,_54km,2012-12-24 10:00:00,-0.0019490005933496682,-0.026806707964432654,0.01313047602045704
DEFAULT,_54km,2012-12-24 10:00:00,-0.0023411083019005954,-0.023875087174497177,0.010837100204913717
ALPS,_54km,2012-12-24 11:00:00,-0.0019479746091210796,-0.028784723798566204,0.014029146275577829
DEFAULT,_54km,2012-12-24 11:00:00,-0.002579967611326286,-0.025290002066231106,0.011675916355907803
ALPS,_54km,2012-12-24 12:00:00,-0.002070369163576714,-0.02873131211429447,0.013960174642957885
DEFAULT,_54km,2012-12-24 12:00:00,-0.002721113822793415,-0.025192936294384488,0.011631670375073186
ALPS,_54km,2012-12-24 13:00:00,-0.0005225604735990001,-0.026310454848728553,0.01216805625531725
DEFAULT,_54km,2012-12-24 13:00:00,-0.0013716983827050991,-0.02275730848725935,0.010054286075267701
ALPS,_54km,2012-12-24 14:00:00,0.002372810005669311,-0.019381613950321692,0.008052211410930253
DEFAULT,_54km,2012-12-24 14:00:00,0.0009788797003174024,-0.016057826627914183,0.006524693678325583
ALPS,_54km,2012-12-24 15:00:00,0.0021193518895431676,-0.004630312442648091,0.0020729580872695073
DEFAULT,_54km,2012-12-24 15:00:00,0.0011597421728000885,-0.0036694022622555285,0.0016370762139934826
ALPS,_54km,2012-12-24 16:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 16:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 17:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 17:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 18:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 18:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-12-24 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-12-24 23:00:00,0.0,0.0,0.0
ALPS,_9km,2012-01-12 00:00:00,0.0,0.0,0.0
DEFAULT,_9km,2012-01-12 00:00:00,0.0,0.0,0.0
ALPS,_9km,2012-01-12 01:00:00,0.0,0.0,0.0
DEFAULT,_9km,2012-01-12 01:00:00,0.0,0.0,0.0
ALPS,_9km,2012-01-12 02:00:00,0.0,0.0,0.0
DEFAULT,_9km,2012-01-12 02:00:00,0.0,0.0,0.0
ALPS,_9km,2012-01-12 03:00:00,0.0,0.0,0.0
DEFAULT,_9km,2012-01-12 03:00:00,0.0,0.0,0.0
ALPS,_9km,2012-01-12 04:00:00,0.0,0.0,0.0
DEFAULT,_9km,2012-01-12 04:00:00,0.0,0.0,0.0
ALPS,_9km,2012-01-12 05:00:00,0.0,0.0,0.0
DEFAULT,_9km,2012-01-12 05:00:00,0.0,0.0,0.0
ALPS,_9km,2012-01-12 06:00:00,0.0,0.0,0.0
DEFAULT,_9km,2012-01-12 06:00:00,0.0,0.0,0.0
ALPS,_9km,2012-01-12 07:00:00,1.0966394817211623e-05,-1.4155217881109472e-06,-2.8878118484654547e-06
DEFAULT,_9km,2012-01-12 07:00:00,1.0599923219150472e-05,-1.5104795523291254e-06,-2.5591914110469136e-06
ALPS,_9km,2012-01-12 08:00:00,0.0010938382415807723,-0.0007622793613112484,-0.0004925793935101787
DEFAULT,_9km,2012-01-12 08:00:00,0.0008513654644059759,-0.0006449105581395821,-0.00039854116982806804
ALPS,_9km,2012-01-12 09:00:00,0.002168638584967353,-0.0015993874561228314,-0.0011021373478252085
DEFAULT,_9km,2012-01-12 09:00:00,0.001771036363792988,-0.0014270594944880994,-0.0008858361601380029
ALPS,_9km,2012-01-12 10:00:00,0.0026988918802054074,-0.0021342634721839594,-0.001627368892996049
DEFAULT,_9km,2012-01-12 10:00:00,0.002159072913753023,-0.0019210777187287607,-0.0012929594780250401
ALPS,_9km,2012-01-12 11:00:00,0.002801783509840093,-0.0024851055780577068,-0.002012755149187968
DEFAULT,_9km,2012-01-12 11:00:00,0.0021693357885615816,-0.002218031241982725,-0.0015888309235498198
ALPS,_9km,2012-01-12 12:00:00,0.0027072391566191167,-0.002693604746735297,-0.0022774490342286325
DEFAULT,_9km,2012-01-12 12:00:00,0.0020435161819716894,-0.0023904888136921675,-0.0017883092753703366
ALPS,_9km,2012-01-12 13:00:00,0.002419893192278319,-0.002587666071201851,-0.0022545335961747194
DEFAULT,_9km,2012-01-12 13:00:00,0.0018316223427753088,-0.0023051454041308427,-0.0017654477883817328
ALPS,_9km,2012-01-12 14:00:00,0.0018239419537370073,-0.0019939842776945465,-0.0017624644630478694
DEFAULT,_9km,2012-01-12 14:00:00,0.0014336982080030312,-0.0017887772221853316,-0.0013633951381484656
ALPS,_9km,2012-01-12 15:00:00,0.0010033711990389165,-0.0007731631165488482,-0.000683323639233117
DEFAULT,_9km,2012-01-12 15:00:00,0.0008220621396894496,-0.0006827578052092426,-0.0005077987851609108
ALPS,_9km,2012-01-12 16:00:00,0.0,0.0,0.0
